,x,y,filename,fringe,rx,ry,angle,cluster
250,118,210,06240907_proc_00250.png,1.312977314,76,65,130.7611253,2
251,116,212,06240907_proc_00251.png,1.13198328,78,67,134.69878740000001,2
253,105,219,06240907_proc_00253.png,0.8972105979999999,79,69,133.1615372,2
254,107,218,06240907_proc_00254.png,1.035669088,78,66,126.0091612,2
255,108,219,06240907_proc_00255.png,0.920454025,77,64,127.26107340000001,2
256,108,219,06240907_proc_00256.png,0.884159088,74,61,125.46555330000001,2
257,107,218,06240907_proc_00257.png,0.929446697,73,59,128.73552,2
258,106,217,06240907_proc_00258.png,0.9275321959999999,72,57,126.69021979999998,2
259,107,215,06240907_proc_00259.png,0.906458378,72,57,130.14518909999998,2
261,105,213,06240907_proc_00261.png,0.976953506,71,56,135.3304091,2
262,116,215,06240907_proc_00262.png,0.936740875,68,55,151.0268293,2
266,115,213,06240907_proc_00266.png,1.0840387340000002,69,57,152.8460656,2
268,113,218,06240907_proc_00268.png,1.062457561,69,57,150.54718269999998,2
269,113,219,06240907_proc_00269.png,1.047144175,64,54,133.63661100000002,2
270,113,220,06240907_proc_00270.png,0.611712933,62,50,134.88867009999998,2
271,117,219,06240907_proc_00271.png,0.609400272,66,55,123.68849170000001,2
272,130,236,06240907_proc_00272.png,3.174754858,85,81,95.06513601,2
275,82,211,06240907_proc_00275.png,8.843486786,101,94,91.00416508,2
276,90,218,06240907_proc_00276.png,9.418650627,108,99,108.2234886,2
277,83,215,06240907_proc_00277.png,9.051429749,109,104,92.07595836,2
279,82,215,06240907_proc_00278.png,8.8844347,114,105,119.3419916,2
280,86,217,06240907_proc_00279.png,8.882138252,115,107,105.1249187,2
281,80,214,06240907_proc_00280.png,10.22756577,113,107,91.30062261,2
282,79,219,06240907_proc_00281.png,11.00652695,114,108,88.40546069,2
283,85,216,06240907_proc_00282.png,8.754177094,119,111,129.3744979,2
284,90,208,06240907_proc_00283.png,10.09134102,116,106,120.12419170000001,2
285,88,210,06240907_proc_00284.png,9.764583587999999,120,117,105.99877990000002,2
286,85,215,06240907_proc_00285.png,10.11283684,116,109,107.11663600000001,2
287,83,212,06240907_proc_00286.png,10.45979881,115,110,108.48865020000001,2
288,78,215,06240907_proc_00287.png,10.78967762,122,114,115.26635619999999,2
289,79,216,06240907_proc_00288.png,9.491374968999999,119,115,135.2854494,2
290,78,219,06240907_proc_00289.png,8.602590561,120,114,112.6991955,2
291,77,214,06240907_proc_00290.png,11.41443825,114,107,102.6259847,2
292,75,217,06240907_proc_00291.png,9.301389694,116,105,139.391445,2
