,x,y,filename,fringe,rx,ry,angle,cluster
4,300,214,06240907_proc_00327.png,1.4087100030000002,56,40,24.66586898,1
5,283,213,06240907_proc_00339.png,1.035181046,51,37,172.96006210000002,1
6,285,214,06240907_proc_00340.png,1.2994482520000001,58,41,178.1511271,1
7,292,213,06240907_proc_00341.png,1.134474277,56,41,8.135499792000001,1
8,277,171,06240907_proc_00345.png,1.230371952,50,37,3.493173679,1
11,288,171,06240907_proc_00364.png,1.95882678,57,35,12.83546737,1
12,278,174,06240907_proc_00365.png,1.9721069340000001,59,35,8.256221678,1
15,286,211,06240907_proc_00368.png,1.294894695,60,40,179.68240759999998,1
16,287,219,06240907_proc_00369.png,1.898143053,63,36,4.982865471,1
21,310,219,06240907_proc_00374.png,1.874759674,65,33,13.06031122,1
22,308,217,06240907_proc_00375.png,2.0042383669999997,62,44,4.984672483,1
24,309,219,06240907_proc_00383.png,1.389293671,63,31,175.0842164,1
25,285,164,06240907_proc_00384.png,1.582193375,53,34,179.7061017,1
27,287,218,06240907_proc_00387.png,2.2742295269999997,62,40,174.14895090000002,1
31,283,176,06240907_proc_00394.png,2.6942219730000003,71,49,15.0333215,1
33,283,210,06240907_proc_00396.png,1.8509175780000002,66,50,173.21653490000003,1
34,291,218,06240907_proc_00397.png,1.75804615,66,39,172.41800680000003,1
35,299,160,06240907_proc_00398.png,2.017763615,50,30,1.691313747,1
38,304,217,06240907_proc_00403.png,2.325654507,60,48,173.932635,1
44,284,163,06240907_proc_00412.png,1.80427742,53,29,175.98755369999998,1
45,283,170,06240907_proc_00413.png,2.345454693,64,40,167.8933198,1
48,290,211,06240907_proc_00417.png,2.771908283,63,48,6.093323602999999,1
53,289,164,06240907_proc_00422.png,2.086566687,44,30,7.072866218,1
54,286,162,06240907_proc_00423.png,4.33727026,56,36,169.63032230000002,1
56,303,172,06240907_proc_00425.png,2.011854649,60,43,2.1686800440000003,1
58,298,201,06240907_proc_00429.png,2.797169685,61,56,157.0926264,1
61,301,215,06240907_proc_00432.png,2.762771845,66,54,21.97609438,1
64,304,176,06240907_proc_00435.png,2.222504377,60,43,176.61812619999998,1
65,297,226,06240907_proc_00436.png,1.370699406,61,29,1.758247467,1
70,285,178,06240907_proc_00442.png,2.688422918,59,52,92.65740554,1
77,291,168,06240907_proc_00450.png,1.592374325,49,30,177.77413059999998,1
78,301,170,06240907_proc_00451.png,1.4670338630000002,55,33,0.110556023,1
86,295,218,06240907_proc_00459.png,2.09668684,54,45,161.3570635,1
87,301,219,06240907_proc_00460.png,1.651154518,51,33,167.98129519999998,1
88,289,172,06240907_proc_00461.png,2.215355396,52,35,170.54373969999997,1
91,291,211,06240907_proc_00464.png,3.0877294539999998,68,56,144.4291842,1
92,294,211,06240907_proc_00465.png,2.9340062139999996,70,62,171.58213759999998,1
96,288,177,06240907_proc_00469.png,3.000245571,65,54,173.10387859999997,1
97,288,172,06240907_proc_00470.png,3.1902718539999997,63,55,6.109583722000001,1
101,281,164,06240907_proc_00474.png,1.9511220459999998,52,40,9.732176039,1
106,301,212,06240907_proc_00479.png,4.159682274,72,63,175.22998330000001,1
111,295,177,06240907_proc_00484.png,2.8324522969999997,71,54,9.150110733,1
115,282,167,06240907_proc_00488.png,2.1443951130000003,53,39,170.37954019999998,1
119,285,201,06240907_proc_00492.png,2.7592544560000003,63,57,163.3411618,1
120,289,207,06240907_proc_00494.png,3.2894659039999996,70,58,6.000453094,1
124,284,169,06240907_proc_00498.png,1.7609748840000001,60,41,176.7678051,1
125,286,163,06240907_proc_00499.png,2.184654236,61,38,2.0820538219999998,1
129,296,178,06240907_proc_00503.png,3.761882305,70,63,53.73300941,1
133,299,207,06240907_proc_00507.png,4.207261086,68,58,14.80763326,1
134,299,209,06240907_proc_00508.png,4.166471958,69,60,1.7655742319999999,1
135,301,211,06240907_proc_00509.png,3.2624120710000004,66,56,5.683432425,1
138,285,216,06240907_proc_00513.png,1.779695034,71,42,164.1521392,1
142,288,180,06240907_proc_00517.png,3.6738834380000003,66,58,15.38385022,1
143,287,179,06240907_proc_00518.png,4.795814991,69,62,7.537298164,1
147,287,210,06240907_proc_00522.png,2.635362148,59,49,162.1231854,1
155,293,188,06240907_proc_00531.png,4.41324091,70,68,125.27712199999999,1
156,295,184,06240907_proc_00532.png,3.9666166310000004,72,66,112.86328390000001,1
163,289,206,06240907_proc_00541.png,2.995396852,66,58,179.02638249999998,1
164,294,204,06240907_proc_00542.png,3.14080596,65,61,4.801331423,1
168,289,180,06240907_proc_00546.png,3.3966958519999997,69,64,148.2951293,1
169,286,178,06240907_proc_00547.png,2.95234108,68,64,105.04312709999999,1
173,294,170,06240907_proc_00551.png,1.562580109,64,42,6.587052792000001,1
178,295,206,06240907_proc_00556.png,4.155899525,65,61,128.6806189,1
185,284,178,06240907_proc_00565.png,2.867001772,61,57,157.53220880000003,1
193,311,218,06240907_proc_00575.png,1.599606276,53,38,176.1181149,1
206,288,204,06240907_proc_00589.png,2.0659489630000003,65,61,161.0048,1
207,292,200,06240907_proc_00590.png,2.513403654,64,59,159.0470543,1
211,288,186,06240907_proc_00594.png,4.337223053,73,68,147.6577565,1
215,290,200,06240907_proc_00598.png,3.447113991,69,67,166.19321230000003,1
216,288,201,06240907_proc_00599.png,2.531646729,70,65,156.8227656,1
220,295,205,06240907_proc_00603.png,3.030355215,62,54,149.5205882,1
225,297,190,06240907_proc_00609.png,4.329741478,74,72,91.52581394,1
229,286,186,06240907_proc_00614.png,1.066600323,49,44,176.7279746,1
