,x,y,filename,fringe,rx,ry,angle,cluster,,,filename,,
0.058788322,150,303,06240912_proc_00884.png,8.574570656,83,75,108.1913731,7,,,06240912_proc_,884,.png
0.06051739,135,311,06240912_proc_00910.png,9.645435333,85,75,92.56876334,7,,,06240912_proc_,910,.png
0.061315422,138,303,06240912_proc_00922.png,9.514095306,86,74,132.2796778,7,,,06240912_proc_,922,.png
0.061381925,124,301,06240912_proc_00923.png,8.449004173,86,80,123.2234173,7,,,06240912_proc_,923,.png
0.066236616,140,307,06240912_proc_00996.png,9.895141602,87,83,169.8565851,7,,,06240912_proc_,996,.png
0.068298198,136,295,06240912_proc_01027.png,7.049842834,87,80,119.1280564,7,,,06240912_proc_,1027,.png
0.0683647,148,298,06240912_proc_01028.png,8.122460365,87,78,128.6613032,7,,,06240912_proc_,1028,.png
0.069295737,146,300,06240912_proc_01042.png,9.213130951,80,72,105.4478432,7,,,06240912_proc_,1042,.png
0.06936224,150,298,06240912_proc_01043.png,8.318445206,75,63,114.9868922,7,,,06240912_proc_,1043,.png
0.070758795,147,301,06240912_proc_01064.png,7.257529736,73,67,123.3068515,7,,,06240912_proc_,1064,.png
0.071357319,143,298,06240912_proc_01073.png,8.027467728,81,70,114.7904969,7,,,06240912_proc_,1073,.png
0.071423821,140,298,06240912_proc_01074.png,8.211651802,79,70,127.4092202,7,,,06240912_proc_,1074,.png
0.072022345,134,298,06240912_proc_01083.png,8.538607597,88,79,139.67638,7,,,06240912_proc_,1083,.png
0.072354858,129,294,06240912_proc_01088.png,7.120371819,82,77,125.5828071,7,,,06240912_proc_,1088,.png
0.072886879,142,301,06240912_proc_01096.png,7.492935181,87,78,124.4460792,7,,,06240912_proc_,1096,.png
0.0734189,144,294,06240912_proc_01104.png,7.308982849,78,72,122.2664395,7,,,06240912_proc_,1104,.png
0.073485403,132,296,06240912_proc_01105.png,8.02772522,83,79,105.9414541,7,,,06240912_proc_,1105,.png
0.074349937,134,293,06240912_proc_01118.png,6.13403511,82,73,160.7053115,7,,,06240912_proc_,1118,.png
0.074416439,136,295,06240912_proc_01119.png,7.006637573,82,77,135.6805383,7,,,06240912_proc_,1119,.png
0.07494846,145,296,06240912_proc_01127.png,8.100292206,89,79,127.7346548,7,,,06240912_proc_,1127,.png
0.075480481,135,298,06240912_proc_01135.png,8.175525665,82,75,118.800098,7,,,06240912_proc_,1135,.png
0.075546984,137,291,06240912_proc_01136.png,7.649996281,79,74,146.3681075,7,,,06240912_proc_,1136,.png
0.076411518,136,294,06240912_proc_01149.png,7.244061947,81,75,145.1975839,7,,,06240912_proc_,1149,.png
0.076810534,130,295,06240912_proc_01155.png,7.923949718,84,74,115.8789149,7,,,06240912_proc_,1155,.png
0.076877037,149,296,06240912_proc_01156.png,7.998209953,86,77,98.16619899,7,,,06240912_proc_,1156,.png
0.077409058,143,287,06240912_proc_01164.png,8.053462029,77,71,37.39322299,7,,,06240912_proc_,1164,.png
0.07747556,144,288,06240912_proc_01165.png,6.39095211,77,72,144.0544356,7,,,06240912_proc_,1165,.png
0.077542063,136,289,06240912_proc_01166.png,4.818460464,72,63,144.4777946,7,,,06240912_proc_,1166,.png
