time,x,y,filename,fringe,rx,ry,angle,cluster,,,Area of ellipse,,,
0.000931037,216,153,06241902_proc_00014.png,1.687838554,45,41,12.5393761,1,,,5796.238446,14,.png,0.000931037
0.000997539,216,148,06241902_proc_00015.png,1.290188313,44,40,9.454783274,1,,,5529.20307,15,.png,0.000997539
0.001064042,215,147,06241902_proc_00016.png,1.276751041,45,41,11.45468828,1,,,5796.238446,16,.png,0.001064042
0.001130545,214,147,06241902_proc_00017.png,1.205394506,45,41,10.29591936,1,,,5796.238446,17,.png,0.001130545
0.001197047,214,146,06241902_proc_00018.png,1.318272591,46,41,13.32681666,1,,,5925.043745,18,.png,0.001197047
0.00126355,213,147,06241902_proc_00019.png,1.267867565,47,42,12.49160576,1,,,6201.503898,19,.png,0.00126355
0.001330053,214,148,06241902_proc_00020.png,1.194177628,46,42,8.90068247,1,,,6069.557007,20,.png,0.001330053
0.001396555,215,147,06241902_proc_00021.png,1.187082767,46,42,10.0608456,1,,,6069.557007,21,.png,0.001396555
0.001463058,215,147,06241902_proc_00022.png,1.130632401,45,41,7.035359942,1,,,5796.238446,22,.png,0.001463058
0.00152956,214,147,06241902_proc_00023.png,1.180922508,44,40,3.692735798,1,,,5529.20307,23,.png,0.00152956
0.018953249,201,154,06241902_proc_00285.png,1.224467278,51,36,151.6754292,1,,,5767.964112,285,.png,0.018953249
0.019219259,209,172,06241902_proc_00289.png,2.770765305,67,48,161.222222,1,,,10103.36197,289,.png,0.019219259
0.019684778,191,168,06241902_proc_00296.png,3.608178616,57,41,175.3491675,1,,,7341.902031,296,.png,0.019684778
0.01975128,211,157,06241902_proc_00297.png,2.004575729,44,30,40.63489907,1,,,4146.902303,297,.png,0.01975128
0.020083793,189,164,06241902_proc_00302.png,3.209620476,72,35,172.3923031,1,,,7916.813487,302,.png,0.020083793
0.020150296,188,169,06241902_proc_00303.png,4.333686829,73,40,170.824107,1,,,9173.450548,303,.png,0.020150296
0.020216799,220,160,06241902_proc_00304.png,3.084299088,56,39,174.5359071,1,,,6861.238355,304,.png,0.020216799
0.020682317,173,127,06241902_proc_00311.png,2.543990374,62,31,175.7950841,1,,,6038.14108,311,.png,0.020682317
0.020881825,222,168,06241902_proc_00314.png,3.518354416,55,38,177.7519124,1,,,6565.928646,314,.png,0.020881825
0.021147835,212,152,06241902_proc_00318.png,4.242562294,63,41,173.0389175,1,,,8114.733824,318,.png,0.021147835
0.021413846,207,162,06241902_proc_00322.png,4.120924473,61,39,173.7197661,1,,,7473.848923,322,.png,0.021413846
0.021613354,221,157,06241902_proc_00325.png,2.626332998,54,35,172.1417051,1,,,5937.610115,325,.png,0.021613354
0.021812862,208,160,06241902_proc_00328.png,3.095709324,60,39,175.236565,1,,,7351.326809,328,.png,0.021812862
0.021879364,206,174,06241902_proc_00329.png,3.53655386,61,40,156.5503674,1,,,7665.486075,329,.png,0.021879364
0.021945867,217,157,06241902_proc_00330.png,3.363501072,72,45,164.3053557,1,,,10178.7602,330,.png,0.021945867
0.022012369,223,139,06241902_proc_00331.png,2.993259907,55,37,147.7611246,1,,,6393.14105,331,.png,0.022012369
0.022078872,231,128,06241902_proc_00332.png,2.468776703,58,33,157.5939196,1,,,6013.008339,332,.png,0.022078872
0.022145375,225,151,06241902_proc_00333.png,3.260786295,56,36,143.5577852,1,,,6333.45079,333,.png,0.022145375
0.022544391,216,130,06241902_proc_00339.png,2.986647129,68,37,158.141472,1,,,7904.247116,339,.png,0.022544391
0.022610893,221,133,06241902_proc_00340.png,2.740664244,62,37,169.0629709,1,,,7206.813547,340,.png,0.022610893
0.022743898,207,162,06241902_proc_00342.png,3.482124329,55,34,173.5743847,1,,,5874.778262,342,.png,0.022743898
0.022810401,209,164,06241902_proc_00343.png,4.120559692,56,40,6.041247679,1,,,7037.167544,343,.png,0.022810401
0.022876904,220,173,06241902_proc_00344.png,2.197141171,58,38,3.638528429,1,,,6924.070209,344,.png,0.022876904
0.022943406,220,177,06241902_proc_00345.png,3.195934296,60,43,5.833932655,1,,,8105.309046,345,.png,0.022943406
0.023009909,215,161,06241902_proc_00346.png,2.674115181,61,38,159.3988773,1,,,7282.211771,346,.png,0.023009909
0.023076412,211,165,06241902_proc_00347.png,2.406434774,60,42,175.8402803,1,,,7916.813487,347,.png,0.023076412
0.023142914,170,159,06241902_proc_00348.png,1.909322977,54,36,18.10888738,1,,,6107.256119,348,.png,0.023142914
0.023209417,230,121,06241902_proc_00349.png,2.324449778,60,31,155.1983469,1,,,5843.362336,349,.png,0.023209417
0.023275919,203,156,06241902_proc_00350.png,3.751199484,65,48,170.7425102,1,,,9801.769079,350,.png,0.023275919
0.02354193,196,117,06241902_proc_00354.png,2.543637276,60,36,174.890899,1,,,6785.840132,354,.png,0.02354193
0.023608433,194,127,06241902_proc_00355.png,1.89125824,51,33,175.7351326,1,,,5287.300436,355,.png,0.023608433
0.023674935,198,129,06241902_proc_00356.png,3.141165257,64,37,174.5070172,1,,,7439.291404,356,.png,0.023674935
