,x,y,filename,fringe,rx,ry,angle,cluster
287,430,160,06240912_proc_00282.png,1.7011594769999998,41,29,116.36027250000001,4
320,445,164,06240912_proc_00312.png,2.020381451,49,33,104.0912378,4
323,416,160,06240912_proc_00314.png,1.28785491,44,25,101.99499809999999,4
349,449,166,06240912_proc_00336.png,1.795767307,49,34,98.93941738,4
357,432,158,06240912_proc_00344.png,1.794232368,46,30,121.15924540000002,4
366,458,168,06240912_proc_00352.png,1.56886816,46,33,103.27469549999999,4
369,448,164,06240912_proc_00355.png,2.156487942,43,32,107.50072479999999,4
378,442,156,06240912_proc_00361.png,1.6894392969999998,42,32,95.8018812,4
386,436,166,06240912_proc_00368.png,1.545957565,47,38,102.2990713,4
387,423,149,06240912_proc_00369.png,1.385654926,39,30,109.13906180000001,4
411,449,162,06240912_proc_00392.png,1.9451916219999998,46,37,123.6286627,4
415,457,164,06240912_proc_00396.png,1.734168053,43,33,131.9619306,4
420,423,158,06240912_proc_00401.png,2.120149374,45,33,114.0427825,4
429,457,165,06240912_proc_00408.png,1.7476108069999998,43,33,123.1758826,4
434,433,160,06240912_proc_00412.png,2.147819042,44,34,105.31315179999999,4
440,457,174,06240912_proc_00418.png,3.1387486460000003,46,37,75.12759344,4
442,460,169,06240912_proc_00419.png,2.460148811,41,33,103.6106657,4
447,425,157,06240912_proc_00424.png,1.546118736,40,30,115.68460290000002,4
448,418,153,06240912_proc_00425.png,3.0887889860000004,53,37,132.1152376,4
454,472,158,06240912_proc_00430.png,1.5338504309999998,41,36,107.6895591,4
458,439,157,06240912_proc_00434.png,2.329474688,50,37,107.2501388,4
462,410,162,06240912_proc_00437.png,1.9415717119999998,51,35,106.9847518,4
466,452,160,06240912_proc_00441.png,1.6185016630000002,45,35,124.5166658,4
468,457,162,06240912_proc_00442.png,1.808009148,41,36,92.0648593,4
482,446,160,06240912_proc_00452.png,2.344232798,43,34,96.06394872,4
483,452,166,06240912_proc_00453.png,2.1617136,45,33,102.1675697,4
488,432,156,06240912_proc_00457.png,1.730399609,44,33,104.4444064,4
490,435,158,06240912_proc_00459.png,1.6666584009999998,42,34,117.00788370000001,4
493,464,171,06240912_proc_00462.png,1.277349472,39,34,105.7930409,4
494,467,161,06240912_proc_00463.png,2.101119041,39,35,93.20084271,4
495,458,171,06240912_proc_00464.png,1.9057538509999998,48,39,105.03826399999998,4
505,452,164,06240912_proc_00474.png,1.5344882009999998,36,27,121.33557350000001,4
507,450,164,06240912_proc_00475.png,2.114360809,44,34,99.19211389,4
517,459,165,06240912_proc_00485.png,2.128859758,43,35,97.44009524,4
524,427,150,06240912_proc_00491.png,2.009052277,42,31,119.7066895,4
526,427,158,06240912_proc_00492.png,2.010549307,45,32,106.2496322,4
533,455,174,06240912_proc_00498.png,1.8700895309999999,46,39,130.2021255,4
537,433,160,06240912_proc_00502.png,2.0090370180000003,45,32,113.49784950000002,4
545,450,158,06240912_proc_00508.png,2.301734686,41,33,118.71730249999999,4
546,454,164,06240912_proc_00509.png,1.94904685,46,38,106.06269679999998,4
564,427,157,06240912_proc_00526.png,1.8358006480000002,43,33,121.25314679999998,4
570,450,168,06240912_proc_00532.png,1.5815439219999998,42,31,103.4494596,4
578,436,157,06240912_proc_00536.png,2.058941126,46,36,108.49995420000002,4
581,432,153,06240912_proc_00537.png,1.61860466,41,32,105.27934240000002,4
587,452,167,06240912_proc_00541.png,1.490075588,45,35,107.16709740000002,4
589,449,168,06240912_proc_00542.png,1.911848068,43,36,112.85904920000002,4
591,444,169,06240912_proc_00543.png,1.414184809,40,29,106.1922996,4
595,427,158,06240912_proc_00547.png,1.533018112,44,33,115.955051,4
602,456,169,06240912_proc_00553.png,2.326297522,38,33,99.99686044,4
603,457,164,06240912_proc_00554.png,1.496292114,40,34,113.37365619999999,4
608,437,159,06240912_proc_00558.png,2.044322729,43,34,122.3895264,4
618,451,166,06240912_proc_00564.png,1.7125079630000002,44,35,113.9984341,4
620,456,165,06240912_proc_00565.png,1.5003438,41,33,104.7452216,4
625,435,157,06240912_proc_00569.png,2.256483078,53,38,114.8202288,4
631,453,162,06240912_proc_00575.png,2.10585618,41,34,102.1242595,4
633,461,165,06240912_proc_00576.png,2.853990555,42,35,113.9327071,4
635,456,165,06240912_proc_00577.png,1.698106289,45,38,97.97675686,4
639,438,152,06240912_proc_00581.png,2.778894663,48,41,111.2674649,4
647,465,165,06240912_proc_00588.png,1.340165377,41,35,99.89341040000001,4
652,441,158,06240912_proc_00592.png,2.458024502,44,35,112.43866470000002,4
653,433,156,06240912_proc_00593.png,2.172945023,47,36,110.73950490000001,4
662,460,164,06240912_proc_00598.png,1.667407036,45,40,98.66620982,4
663,458,167,06240912_proc_00599.png,1.825932026,45,39,109.06165530000001,4
668,443,156,06240912_proc_00602.png,2.232855797,49,39,103.3865331,4
673,425,152,06240912_proc_00604.png,2.1528363230000003,50,37,127.3049027,4
681,460,172,06240912_proc_00608.png,1.086126328,36,27,109.0248064,4
684,447,160,06240912_proc_00609.png,1.736312866,39,31,111.99052240000002,4
686,448,163,06240912_proc_00610.png,1.6179685590000001,40,30,105.4868845,4
695,438,151,06240912_proc_00614.png,1.709554434,48,40,98.30130696,4
698,437,154,06240912_proc_00615.png,2.125200272,48,40,81.54075858,4
712,445,165,06240912_proc_00620.png,1.8812510969999998,42,33,92.67358625,4
715,447,165,06240912_proc_00621.png,1.7316603659999998,46,37,108.98404380000001,4
723,437,153,06240912_proc_00625.png,1.794613361,45,34,105.8010118,4
727,436,149,06240912_proc_00626.png,1.859158993,46,35,104.9168233,4
730,444,149,06240912_proc_00627.png,1.8339431290000001,49,38,105.0203963,4
739,446,163,06240912_proc_00632.png,2.1933505540000002,48,41,86.19780695,4
748,435,155,06240912_proc_00636.png,2.259855747,48,36,111.08664240000002,4
750,438,149,06240912_proc_00637.png,2.438391685,46,41,99.64258536,4
753,435,152,06240912_proc_00638.png,2.1444404130000003,48,37,105.7465342,4
765,457,163,06240912_proc_00642.png,2.248258829,44,37,95.20965598,4
769,456,167,06240912_proc_00643.png,2.1668610569999998,44,39,88.51642395,4
771,460,161,06240912_proc_00644.png,2.290106058,46,39,113.86565520000002,4
776,435,157,06240912_proc_00648.png,1.827681065,46,40,88.79597676,4
779,435,155,06240912_proc_00649.png,2.031109095,46,37,103.06963959999999,4
783,434,157,06240912_proc_00650.png,1.994954109,50,36,107.4053344,4
789,457,157,06240912_proc_00654.png,1.9085571769999998,46,40,117.86847390000001,4
791,450,159,06240912_proc_00655.png,1.6218175890000002,43,36,96.63248684,4
800,443,159,06240912_proc_00659.png,1.7548022269999999,49,39,102.6676147,4
802,438,158,06240912_proc_00660.png,1.568686485,46,38,102.78735470000001,4
811,449,163,06240912_proc_00664.png,1.295017004,44,36,100.75650040000001,4
814,455,164,06240912_proc_00665.png,2.507866859,51,44,97.98810181,4
817,449,159,06240912_proc_00666.png,1.963348866,47,38,107.29116780000001,4
826,447,150,06240912_proc_00670.png,1.7314376830000002,41,31,101.00802900000001,4
829,440,152,06240912_proc_00671.png,1.674747705,46,34,105.0007663,4
832,438,157,06240912_proc_00672.png,1.741007328,47,37,109.8061732,4
838,441,163,06240912_proc_00675.png,1.6938436030000001,45,38,102.2532408,4
841,444,163,06240912_proc_00676.png,1.8549108509999999,49,42,99.1609614,4
843,448,163,06240912_proc_00677.png,2.028310061,47,40,85.63228095,4
853,446,148,06240912_proc_00681.png,2.1639285090000002,45,36,105.2442011,4
856,445,151,06240912_proc_00682.png,2.019002199,45,37,102.5214896,4
859,444,150,06240912_proc_00683.png,1.566036224,45,37,101.2854712,4
864,446,159,06240912_proc_00687.png,2.172027588,43,34,104.6046905,4
866,446,159,06240912_proc_00688.png,2.014785767,48,41,103.78229470000001,4
873,445,150,06240912_proc_00693.png,2.5507612230000003,49,39,106.90556950000001,4
875,447,144,06240912_proc_00694.png,1.9368877409999998,42,37,97.93820727,4
879,447,167,06240912_proc_00697.png,1.42720437,49,36,87.92378892,4
881,443,165,06240912_proc_00698.png,1.592706442,49,38,100.74934920000001,4
883,443,168,06240912_proc_00699.png,2.202372074,51,44,101.1846303,4
887,440,170,06240912_proc_00700.png,1.747939348,48,39,85.36789115,4
896,441,149,06240912_proc_00704.png,2.312320471,47,36,106.41383,4
898,444,152,06240912_proc_00705.png,2.1564886569999997,49,41,111.41914969999999,4
900,451,155,06240912_proc_00706.png,2.065141439,49,41,108.523573,4
904,448,170,06240912_proc_00709.png,1.773041725,47,38,102.4628183,4
907,449,161,06240912_proc_00710.png,1.934853792,46,37,106.2428294,4
913,451,153,06240912_proc_00714.png,1.825732708,47,39,106.8239487,4
915,443,156,06240912_proc_00715.png,1.8929064269999998,45,40,105.3230078,4
917,449,151,06240912_proc_00716.png,2.263524771,47,40,109.2161132,4
928,444,153,06240912_proc_00726.png,2.311538219,50,41,105.49685659999999,4
930,444,154,06240912_proc_00727.png,2.247374296,51,42,110.03282620000002,4
935,451,159,06240912_proc_00731.png,1.65360713,43,33,96.10585876,4
937,447,161,06240912_proc_00732.png,2.234019279,52,42,83.38282644,4
942,451,158,06240912_proc_00737.png,1.7373886109999999,48,37,109.38851399999999,4
943,446,156,06240912_proc_00738.png,2.0964324469999998,50,43,111.3120728,4
945,446,157,06240912_proc_00739.png,2.0120599269999997,49,40,108.7825054,4
950,441,169,06240912_proc_00743.png,1.972397327,44,34,100.7330865,4
952,439,166,06240912_proc_00744.png,2.213654041,49,40,101.8240385,4
957,450,150,06240912_proc_00748.png,1.993604898,48,41,102.16047309999999,4
959,452,147,06240912_proc_00749.png,1.977193594,44,40,96.95835517,4
964,433,168,06240912_proc_00754.png,2.2280321119999997,46,37,109.30845729999999,4
966,441,168,06240912_proc_00755.png,1.6672990319999998,46,38,103.2084837,4
971,446,148,06240912_proc_00759.png,2.3235845569999998,49,39,110.1935064,4
974,442,149,06240912_proc_00760.png,2.065252781,41,34,106.423201,4
976,447,154,06240912_proc_00761.png,1.870752811,47,40,97.57950623,4
982,446,170,06240912_proc_00766.png,3.106351376,47,39,123.366561,4
984,444,167,06240912_proc_00767.png,2.053885698,44,35,101.92368409999999,4
989,450,152,06240912_proc_00771.png,2.191743374,48,41,112.13914040000002,4
991,447,154,06240912_proc_00772.png,1.97696209,42,36,114.17741229999999,4
993,455,150,06240912_proc_00773.png,1.7007493969999998,45,36,114.52689939999999,4
996,438,163,06240912_proc_00776.png,2.3495621680000003,51,42,115.3798945,4
997,436,163,06240912_proc_00777.png,2.615952969,48,40,105.57719329999999,4
1004,452,154,06240912_proc_00783.png,2.359936237,45,39,103.9060577,4
1010,446,158,06240912_proc_00787.png,1.4985265730000001,45,36,98.04869924,4
1012,443,161,06240912_proc_00788.png,2.017020702,49,38,89.49314783,4
1021,444,150,06240912_proc_00793.png,1.854356527,44,37,108.0388618,4
1025,443,152,06240912_proc_00794.png,2.265397072,43,37,103.85601290000001,4
1028,444,151,06240912_proc_00795.png,1.627682686,45,35,108.6926338,4
1032,435,166,06240912_proc_00799.png,2.1323597430000003,51,38,102.821813,4
1035,436,157,06240912_proc_00800.png,1.9164247509999999,46,36,102.4459614,4
1041,449,149,06240912_proc_00804.png,0.930498123,44,38,98.23771107,4
1043,443,156,06240912_proc_00805.png,2.129123211,49,42,103.51168940000001,4
1044,448,157,06240912_proc_00806.png,1.5688042640000002,47,41,108.2781506,4
1050,440,161,06240912_proc_00810.png,1.675510883,47,39,104.6911265,4
1053,439,160,06240912_proc_00811.png,1.77200675,44,37,90.48696949,4
1059,454,147,06240912_proc_00815.png,1.3918614390000001,42,36,105.61069540000001,4
1062,448,149,06240912_proc_00816.png,2.342491627,52,45,107.6729617,4
1065,443,146,06240912_proc_00817.png,1.9277801509999999,48,41,100.5174848,4
1071,431,163,06240912_proc_00821.png,1.830186844,50,39,68.51283526,4
1074,439,165,06240912_proc_00822.png,1.98268795,46,39,90.31812039,4
1078,437,165,06240912_proc_00823.png,2.0006668569999997,48,36,92.23438459999998,4
1084,450,160,06240912_proc_00825.png,1.511593819,50,38,110.98576059999999,4
1087,451,153,06240912_proc_00827.png,2.47259903,50,42,98.55250766,4
1089,450,152,06240912_proc_00828.png,2.3775837419999997,48,41,103.7484238,4
