time,x,y,filename,fringe,rx,ry,angle,cluster,,,Area of ellipse,,
0.016359646,307,266,06240913_proc_00246.png,2.722325802,56,49,61.28195987,5,,,8620.530241,246,.png
0.018953249,290,264,06240913_proc_00285.png,1.012660027,45,38,9.712381297,5,,,5372.123438,285,.png
0.019086254,292,269,06240913_proc_00287.png,1.081538439,52,41,5.428856333,5,,,6697.875537,287,.png
0.022477888,285,248,06240913_proc_00338.png,1.035000086,42,30,174.2404566,5,,,3958.406744,338,.png
0.022677396,287,257,06240913_proc_00341.png,1.421067476,48,36,147.1424324,5,,,5428.672105,341,.png
0.023674935,284,252,06240913_proc_00356.png,1.206482887,46,32,143.3645387,5,,,4624.424386,356,.png
0.024871982,280,253,06240913_proc_00374.png,1.203864098,44,31,134.341671,5,,,4285.132379,374,.png
0.024938485,271,258,06240913_proc_00375.png,0.995014191,41,28,117.9689323,5,,,3606.548366,375,.png
0.026867061,277,254,06240913_proc_00404.png,1.460432053,51,43,162.1261599,5,,,6889.512689,404,.png
0.027000067,288,239,06240913_proc_00406.png,1.584864855,45,34,124.694763,5,,,4806.63676,406,.png
0.027066569,288,238,06240913_proc_00407.png,1.556169987,44,32,121.2262632,5,,,4423.362456,407,.png
0.028064109,274,251,06240913_proc_00422.png,1.323159933,44,33,152.1204297,5,,,4561.592533,422,.png
0.028130611,281,253,06240913_proc_00423.png,1.045279503,43,33,169.4252928,5,,,4457.919975,423,.png
0.028330119,288,233,06240913_proc_00426.png,1.247576714,41,26,151.2861716,5,,,3348.937769,426,.png
0.028662632,301,259,06240913_proc_00431.png,1.354477882,44,32,141.2231105,5,,,4423.362456,431,.png
0.029261156,275,248,06240913_proc_00440.png,1.200870991,41,32,144.9960865,5,,,4121.769562,440,.png
0.029327658,278,248,06240913_proc_00441.png,1.299357653,39,31,133.9634219,5,,,3798.185518,441,.png
0.029394161,280,251,06240913_proc_00442.png,1.151793242,44,29,151.725281,5,,,4008.672226,442,.png
0.029793177,300,262,06240913_proc_00448.png,1.462063313,45,33,126.0488446,5,,,4665.265091,448,.png
0.030524706,275,252,06240913_proc_00459.png,1.05058217,42,33,165.0679395,5,,,4354.247418,459,.png
0.031056727,295,265,06240913_proc_00467.png,1.210357904,41,30,110.2064155,5,,,3864.158964,467,.png
0.031455743,284,247,06240913_proc_00473.png,1.40218997,41,33,110.1346985,5,,,4250.57486,473,.png
0.031522245,288,247,06240913_proc_00474.png,1.465533257,40,29,150.0921248,5,,,3644.247478,474,.png
0.031588748,282,245,06240913_proc_00475.png,1.205757618,40,29,139.1520946,5,,,3644.247478,475,.png
0.032054266,291,264,06240913_proc_00482.png,1.313255787,42,32,105.0622175,5,,,4222.300526,482,.png
0.032120769,289,259,06240913_proc_00483.png,1.706329584,46,39,118.4685948,5,,,5636.017221,483,.png
0.032187271,286,261,06240913_proc_00484.png,1.480834246,47,35,122.6342384,5,,,5167.919915,484,.png
0.032519785,275,249,06240913_proc_00489.png,0.921760082,41,32,152.7731533,5,,,4121.769562,489,.png
0.032586287,281,250,06240913_proc_00490.png,1.140750647,43,32,149.6984531,5,,,4322.831491,490,.png
0.03265279,282,249,06240913_proc_00491.png,1.329498053,42,32,115.8111526,5,,,4222.300526,491,.png
0.033118308,300,252,06240913_proc_00498.png,1.505218744,43,34,127.6146177,5,,,4593.00846,498,.png
0.033184811,293,257,06240913_proc_00499.png,1.05712986,42,31,122.0776394,5,,,4090.353635,499,.png
0.033716832,273,248,06240913_proc_00507.png,1.213398218,43,36,141.1645313,5,,,4863.185428,507,.png
0.033783334,278,246,06240913_proc_00508.png,1.571081638,43,37,127.1769152,5,,,4998.273912,508,.png
0.033849837,281,248,06240913_proc_00509.png,1.503273249,45,40,130.2102091,5,,,5654.866776,509,.png
0.034248853,301,262,06240913_proc_00515.png,1.286970377,45,34,117.9532365,5,,,4806.63676,515,.png
0.034315355,296,254,06240913_proc_00516.png,1.590227604,47,39,112.8117365,5,,,5758.539334,516,.png
0.034381858,297,254,06240913_proc_00517.png,1.629949093,45,37,108.5052954,5,,,5230.751768,517,.png
0.034448361,294,261,06240913_proc_00518.png,1.177277803,44,33,110.903409,5,,,4561.592533,518,.png
0.034714371,284,253,06240913_proc_00522.png,1.244785309,40,31,166.9663427,5,,,3895.57489,522,.png
0.034780874,279,246,06240913_proc_00523.png,1.350444555,42,31,148.5372117,5,,,4090.353635,523,.png
0.034847376,275,248,06240913_proc_00524.png,1.498747349,43,35,136.7784434,5,,,4728.096944,524,.png
0.034913879,275,247,06240913_proc_00525.png,1.390514135,45,36,131.493021,5,,,5089.380099,525,.png
0.034980382,276,248,06240913_proc_00526.png,1.312562227,45,36,133.1747673,5,,,5089.380099,526,.png
