,x,y,filename,fringe,rx,ry,angle,cluster,,,Ares of ellipse,,
0.01975128,171,297,06241902_proc_00297.png,1.472112656,39,29,137.8530405,6,,,3553.141291,297,.png
0.02633504,201,274,06241902_proc_00396.png,1.231907845,39,30,170.4367209,6,,,3675.663405,396,.png
0.027000067,209,283,06241902_proc_00406.png,1.516079903,38,29,3.179869273,6,,,3462.035104,406,.png
0.034248853,193,276,06241902_proc_00515.png,1.959404469,44,34,177.2416482,6,,,4699.82261,515,.png
0.034980382,214,304,06241902_proc_00526.png,1.333813667,42,34,148.7777061,6,,,4486.194309,526,.png
0.035046884,203,293,06241902_proc_00527.png,1.196062565,39,34,152.5454399,6,,,4165.751859,527,.png
0.0354459,201,291,06241902_proc_00533.png,1.710713387,44,39,2.815642819,6,,,5390.972994,533,.png
0.035512403,215,281,06241902_proc_00534.png,2.338353395,57,48,63.64658503,6,,,8595.3975,534,.png
0.035578905,216,276,06241902_proc_00535.png,1.750515461,50,44,147.1098114,6,,,6911.503838,535,.png
0.036775953,204,282,06241902_proc_00553.png,1.713968277,42,36,153.4700495,6,,,4750.088092,553,.png
0.036908958,219,271,06241902_proc_00555.png,2.213071346,45,39,142.8576089,6,,,5513.495107,555,.png
0.036975461,213,275,06241902_proc_00556.png,1.37823391,46,38,14.56361963,6,,,5491.503958,556,.png
0.037241471,229,293,06241902_proc_00560.png,1.369906425,41,36,140.9302354,6,,,4636.990757,560,.png
0.037307974,231,296,06241902_proc_00561.png,1.44914341,41,36,119.3558432,6,,,4636.990757,561,.png
0.038172508,230,273,06241902_proc_00574.png,0.839113712,44,33,138.8570988,6,,,4561.592533,574,.png
0.03823901,220,282,06241902_proc_00575.png,2.037159204,48,41,172.0243633,6,,,6182.654342,575,.png
0.038571524,227,290,06241902_proc_00580.png,1.383710384,50,42,128.1530244,6,,,6597.344573,580,.png
0.038638026,218,287,06241902_proc_00581.png,1.697251558,46,38,142.2943846,6,,,5491.503958,581,.png
0.038704529,209,296,06241902_proc_00582.png,1.486582756,57,46,152.5499632,6,,,8237.255938,582,.png
0.038771031,209,296,06241902_proc_00583.png,2.065889359,54,41,132.790494,6,,,6955.486135,583,.png
0.038837534,207,300,06241902_proc_00584.png,2.075900555,52,44,129.1584863,6,,,7187.963991,584,.png
0.039170047,205,289,06241902_proc_00589.png,2.805589676,64,59,171.5605739,6,,,11862.65386,589,.png
0.03923655,208,297,06241902_proc_00590.png,1.745439529,45,38,129.9715281,6,,,5372.123438,590,.png
0.039303052,204,299,06241902_proc_00591.png,1.788113594,44,34,136.1228648,6,,,4699.82261,591,.png
0.039768571,202,280,06241902_proc_00598.png,2.298874617,57,44,156.0372836,6,,,7879.114375,598,.png
0.039901576,207,297,06241902_proc_00600.png,1.740120649,65,49,8.991828783,6,,,10005.9726,600,.png
0.039968079,212,305,06241902_proc_00601.png,1.620179415,59,53,167.2120076,6,,,9823.760228,601,.png
0.040034581,217,303,06241902_proc_00602.png,2.411172628,53,39,122.789089,6,,,6493.672015,602,.png
0.040101084,213,303,06241902_proc_00603.png,2.147694826,58,47,12.38668552,6,,,8563.981574,603,.png
0.0405001,213,297,06241902_proc_00609.png,2.215056896,44,37,161.5879444,6,,,5114.51284,609,.png
0.040566602,208,290,06241902_proc_00610.png,2.400099754,52,44,137.2982891,6,,,7187.963991,610,.png
0.040633105,207,280,06241902_proc_00611.png,2.07660532,59,51,161.4375334,6,,,9453.052295,611,.png
0.041165126,199,315,06241902_proc_00619.png,1.412540913,47,42,149.6535446,6,,,6201.503898,619,.png
0.041231629,201,301,06241902_proc_00620.png,1.993282318,59,50,150.8722143,6,,,9267.698328,620,.png
0.04176365,220,285,06241902_proc_00628.png,1.791032314,55,45,108.7085618,6,,,7775.441818,628,.png
0.041830152,222,291,06241902_proc_00629.png,2.177762985,53,43,35.99497398,6,,,7159.689658,629,.png
0.041896655,228,290,06241902_proc_00630.png,2.034310102,56,49,28.02765223,6,,,8620.530241,630,.png
0.042295671,220,299,06241902_proc_00636.png,2.112308741,49,45,178.2261207,6,,,6927.211801,636,.png
0.042428676,194,291,06241902_proc_00638.png,1.552364826,50,41,8.432735964,6,,,6440.26494,638,.png
0.042561681,190,293,06241902_proc_00640.png,1.930678368,60,46,135.1563384,6,,,8670.795724,640,.png
0.0430272,223,302,06241902_proc_00647.png,1.764129639,52,44,112.6246644,6,,,7187.963991,647,.png
0.043160205,232,284,06241902_proc_00649.png,1.794824123,52,45,160.9526429,6,,,7351.326809,649,.png
0.043226707,231,288,06241902_proc_00650.png,1.279225588,37,34,152.1444122,6,,,3952.123558,650,.png
0.043559221,213,285,06241902_proc_00655.png,1.891969681,51,39,15.84686362,6,,,6248.627788,655,.png
0.043625723,209,285,06241902_proc_00656.png,2.240450859,67,50,55.30105009,6,,,10524.33539,656,.png
0.043692226,195,289,06241902_proc_00657.png,1.87442255,59,47,0.696446429,6,,,8711.636428,657,.png
0.044157744,200,303,06241902_proc_00664.png,2.123801708,45,35,160.6843326,6,,,4948.008429,664,.png
0.044290749,216,299,06241902_proc_00666.png,1.770468235,53,39,122.0408725,6,,,6493.672015,666,.png
0.044490257,232,288,06241902_proc_00669.png,1.486065626,45,37,178.6778101,6,,,5230.751768,669,.png
0.04482277,208,305,06241902_proc_00674.png,1.472775936,52,42,20.85178889,6,,,6861.238355,674,.png
0.044889273,208,302,06241902_proc_00675.png,2.198053837,59,44,19.53536043,6,,,8155.574529,675,.png
0.044955776,201,296,06241902_proc_00676.png,2.201320887,61,45,36.14755016,6,,,8623.671834,676,.png
